Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount
1.25,4.303178484,0.35,3.422982885
1.75,26.01466993,0.45,22.12713936
2.25,21.71149144,0.55,32.39608802
2.75,13.00733496,0.65,34.35207824
3.25,4.303178484,0.75,7.457212714
3.75,8.704156479,,
4.25,4.303178484,,
4.75,0,,
5.25,0,,
5.75,0,,
6.25,8.704156479,,
6.75,4.400977995,,
7.25,4.400977995,,
