Myelinated_fibreDiam,Myelinated_fibreDiamCount,Unmyelinated_axonDiam,Unmyelinated_axonCount
2,4.084158416,0.25,4.084158416
3,19.8019802,0.5,5.445544554
4,32.05445545,0.75,6.806930693
5,17.2029703,1,14.97524752
6,7.673267327,1.25,25.4950495
7,5.569306931,1.5,25.12376238
8,3.341584158,1.75,12.74752475
9,3.217821782,2,4.084158416
10,2.103960396,2.25,1.608910891
11,1.237623762,2.5,0.371287129
12,0.742574257,,
13,0.742574257,,
