Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_axonDiam,Myelinated_axonDiamCount
1.0,0.103950104,0.5,1.247401247
1.5,4.885654886,1.0,25.98752599
2.0,18.71101871,1.5,41.26819127
2.5,29.31392931,2.0,21.41372141
3.0,23.5966736,2.5,6.548856549
3.5,13.61746362,3.0,2.182952183
4.0,4.677754678,3.5,0.727650728
4.5,2.494802495,4.0,0.415800416
5.0,1.455301455,4.5,0.207900208
5.5,1.03950104,,
