Myelinated_fibreDiam,Myelinated_fibreDiamCount,Myelinated_gRatio,Myelinated_gRatioCount
1.25,0.684596577,0.35,0.488997555
1.75,17.45721271,0.45,7.701711491
2.25,36.28361858,0.55,23.22738386
2.75,29.60880196,0.65,38.87530562
3.25,12.66503667,0.75,22.73838631
3.75,2.909535452,0.85,6.356968215
4.25,0.171149144,0.95,0.488997555
